Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"Product Owner, Digital Banking Platform",Financial services,51-200 Employees,"Munich, Germany",Verified,Backend Web Development for Digital Banking Platform,Web Development,"$10,000 to $49,999",Jan. 2017 - Jan. 2019,Intellias assisted with the backend development of a banking solution. Key technologies used were Ruby on Rails and HTML. The team implemented a variety of features within the platform.,"""I was impressed with their positive attitude and professionalism."""
"Senior Blockchain Architect, Deon Digital",Information technology,11-50 Employees,"Zurich, Switzerland",Verified,Multiple Devs for Blockchain Development Company,Development,"$10,000 to $49,999",Mar. 2018 - Ongoing,"Brought in as a third-party, Intellias has designed and developed the frontend for a digital contract provider’s web app assignments. They are currently working on the second project in the engagement.","""Their willingness to fully understand the projects and our needs makes them a pleasant partner to work with."""
"CEO, ServiceFactum GmbH",Information technology,11-50 Employees,"Herrsching, Germany",Verified,Platform Development for Software Service Provider,Custom Software Development,Confidential,Jan. 2017 - Ongoing,"Intellias acts as a partner for a software development company. They support various mobile, web-based, and cloud applications. Their areas of expertise include JavaScript, React, Angular, iOS, and Android.",“They are cooperative and flexible and always come up with the best options for us.”
"CTO, Fintech Company",Financial services,11-50 Employees,"Munich, Germany",Verified,Software Development Support for Fintech Company,Development,"$50,000 to $199,999",Jan. 2014 - Ongoing,"Intellias provides developers with knowledge of the full suite of Java technologies for various projects. Specifically, the developers have used Java Enterprise Edition, JavaBeans, CDI’s, and PrimeFaces.","""They were able to discuss and solve a lot of problems quickly and directly that were not trivial."""
"Product Manager, eggs unimedia GmbH",Information technology,11-50 Employees,"Munich, Germany",Verified,Staff Augmentation for Energy Management App,Staff Augmentation,"$200,000 to $999,999",Jan. 2012 - Ongoing,"Using Ext JS and additional APIs and frameworks, Intellias supplies additional team members to work as part of an IT services company to work on the frontend of an energy management application.",“We haven’t regretted trying an offshoring approach with them.”
"Team Leader, Interactive Storytelling Platform",Advertising & marketing,51-200 Employees,"Tel Aviv, Israel",Verified,Staff Augmentation for Interactive Storytelling Platform,Staff Augmentation,"$50,000 to $199,999",Feb. 2017 - Ongoing,"Intellias augments an internal team that builds web apps for creating and publishing interactive content. They help with most development projects, including back-office systems that improve customer service.",“We’ve been amazed by their skills and feel confident about giving them projects that involve our core business.”
"VP of Technology, Brainstorm Inc",Information technology,51-200 Employees,"American Fork, Utah",Verified,Staff Augmentation for Software Development Company,Custom Software Development,"$1,000,000 - $9,999,999",Jan. 2011 - Ongoing,"Intellias augment the staffing of a software development company, working on front and backend development. Initially, they brought one or two members to the team, which has then steadily grown over 6 years.","“If there’s work to be completed, they will spend all night working on it to hit deliverables.”"
"Manager, Location Platform Company",Information technology,"5,001-10,000 Employees","Berlin, Germany",Verified,Staff Augmentation for Location Platform Company,Staff Augmentation,Confidential,Jan. 2016 - Ongoing,"Intellias augmented a location cloud company's internal resources, developing location-based services and client software while making suggestions for improvement.",“It’s a true success story for me.”
"CEO, Phase-6",Education,11-50 Employees,"Landsberg am Lech, Germany",Verified,Application Dev for Language E-Learning Company,Development,"$200,000 to $999,999",Feb. 2012 - Ongoing,"Intellias built a completely new architecture for German company, Phase6, moving an offline legacy product to a modern, cloud-based platform & creating native iOS and Android solutions for their mobile needs.","""“[L]ooking back, Intellias couldn’t have done a better job. Nothing negative comes to mind."""
"Founder, Alphary AG",Education,1-10 Employees,"Vienna, Austria",Verified,App and Backend Development for Educational Technology Startup,Mobile App Development,"$200,000 to $999,999",June 2012 - Ongoing,"Intellias built an Android and iOS app, which included A.I. for backend solutions. They also provided staffing, infrastructure hosting, business analysis and end-to-end implementation.","""It’s really great for a startup company to have a partner like this."""
"Owner, IT Consulting Company",IT Services,1-10 Employees,"Zürich Area, Switzerland",Verified,Multiple App Dev for IT Consulting Firm,Development,"$50,000 to $199,999",,"Intellias developed several projects for the company including Java development, Oracle database, web development, portal development, and Android/iOS applications.","""Intellias provides impeccable quality."""
"CEO, EveryMatrix",Software,201-500 Employees,"London, United Kingdom",Verified,Ongoing Dev Engagement for B2B Payment Solutions Firm,Custom Software Development,Confidential,Mar. 2014 - Ongoing,Intellias joined an existing group of distributed offshore providers serving the same client. Assigned engineers built a payment integration solution for a flagship product and they continue improving it.,"""I was in touch with their CEO from day one and not with an assigned account manager."""
"IT, IFB.de",Legal,,"Munich, Germany",Verified,Data Exchange Platform for Consulting Company,Web Development,"$50,000 to $199,999",Aug. 2016 - Ongoing,"The project consisted of designing and developing a data exchange platform for ERP, CRM, and third-party systems, along with step-by-step migration of the data from MS SQL to the Azure cloud platform.","""During my 2010 Java project with Intellias, they did a perfect job, supporting me with all architecture and design questions."""
"Technical Product Owner, Smava GmbH",Financial Services,201-500 Employees,"Berlin, Germany",Verified,CRM Development & Support for Loan Comparison Platform,Custom Software Development,"$50,000 to $199,999",Jan. 2018 - Ongoing,Intellias developed an internal CRM for a loan comparison platform. The team built specialized features and provided support maintenance.,"""I was impressed with their readiness to adjust to requirements."""
