Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"Director of Software Engineering, Onset Computer",Consumer products,51-200 Employees,"Bourne, Massachusetts",Verified,Android Mobile App Dev for Data Logger Solutions Company,Mobile App Development,"$1,000,000 - $9,999,999",Jan. 2014 - Ongoing,"AndPlus has developed several Android apps to accompany iOS apps, which interact with a set of Bluetooth Low Energy products for a new line of data loggers. They have also worked on cloud integration.","""What has impressed me the most is their ability to understand and internalize the needs of our customers."""
"Senior Product Manager, Bloomberg LP",Financial Services,"10,000+ Employees","New York, New York",Verified,Web App Dev for Data Management Analytics Company,Web Development,"$1,000,000 - $9,999,999",Jan. 2014 - Ongoing,"AndPlus complemented an in-house engineering team to develop a data inventory and data mapping application. They participated in weekly, in-depth meetings and provided real-time QA resources.","""They are a true partner rather than just a vendor."""
"SVP Global Commercial Operations, Cold Chain Technologies",Consumer products,51-200 Employees,Boston Metro Area,Verified,Web App Tool Development for Packaging Company,Development,"$10,000 to $49,999",Feb. 2017 - Ongoing,AndPlus created a package tracking tool for heat and time sensitive products. The team integrated complex algorithms and weather forecast software to provide a full-service solution.,"""Their knowledge was top notch."""
"Global Web Marketing Manager, Machine Vision Technology Company",Manufacturing,"1,001-5,000 Employees","Boston, Massachusetts",Verified,iOS Mobile App Dev for Sales Tool,Mobile App Development,"$50,000 to $199,999",Jan. 2016 - Ongoing,"AndPlus augments internal teams to enhance an existing iOS app used internally as a sales tool. They assist in development, UX, project management, as well as help train the young, in-house development team.","""AndPlus is always very receptive when working on projects, responsive to ideas, and proactive in providing feedback."""
"Director of Product Management, Crossref",Publishing,51-200 Employees,"Boston, Massachusetts",Verified,Metadata Manager Tool for Publishing Company,Web Development,"$50,000 to $199,999",Apr. 2017 - Ongoing,AndPlus helped build and test the user interface of an app that lets users publish scholarly articles. An engineer from AndPlus continues to assist in the final stages of development.,"“The app required domain-specific knowledge of publishing metadata, which AndPlus’ team learned quickly.”"
"Director of Marketing and Communications, Centrifuge Media",Media,11-50 Employees,"Durham, North Carolina",Verified,Custom App Development for Audiovisual Production Agency,Development,"$50,000 to $199,999",June 2015 - Ongoing,"AndPlus designed and implemented an internal communications system in multiple phases, beginning with a simple messaging and time tracking system then adding estimators and other efficiency tools.","""Unique about this service provider is their ability to explain in very plain language the nature of the work they do."""
"CTO, Ecommerce Shipping Platform",Transportation,11-50 Employees,"Boston, Massachussetts",Verified,Drupal Development for Logistics & Supply Chain Firm,Web Development,"$50,000 to $199,999",,AndPlus integrated the Drupal CMS and other APIs into this e-commerce-focused online platform in order to allow the client's marketing team to edit web-based content.,"""AndPlus was able to complete each set of tasks on time, including a huge number of refinements ..."""
"Vice President, National Nonprofit",Nonprofit,51-200 Employees,"New York, New York",Verified,Mobile App Development for Cancer Nonprofit,Mobile App Development,"$10,000 to $49,999",,"AndPlus developed an iOS/Android app, designed the interfaces, tested, and submitted the apps to their respective stores. They continue to provide ongoing modifications to the apps.","""They worked well with our team through the development process, delivered an award-winning app, and did it within the stated timeframe."""
"Manager, Direct Media Inc.",Advertising & marketing,11-50 Employees,"Hingham, Massachussetts",Verified,Maintenance and Improvements to Existing Software Application,Web Development,"$10,000 to $49,999",May 2016 - Jan. 2017,"The client has an existing custom software application meant to manage contracts, AndPlus has was brought in to continuously make enhancements.","""They stayed within our budget and were very transparent when it came to time and work logs."""
"Program Manager, Medica Corporation",Healthcare,51-200 Employees,"Bedford, Massachussetts",Verified,App Development and Integration for Medical Device Company,Development,"$200,000 to $999,999",May 2014 - July 2015,"AndPlus developed and then integrated an Android app into this client's medical hardware, additionally, designing the UI for touch-screen display.","""It's clear that their developers are highly qualified and passionate about what they do and take their commitments to their clients very seriously."""
"Project Engineer, NexRev LLC",Business Services,51-200 Employees,"Plano, Texas",Verified,Application Development for Facilities Services Company,Development,"$50,000 to $199,999",,AndPlus was brought on to transform a spreadsheet-based record keeping tool into an app that would guard the client's IP and integrate with their hardware.,"""The software has met our expectations, and I have been impressed with the way AndPlus tackles challenges."""
"Managing Partner, DKF Solutions",IT Services,1-10 Employees,"San Francisco, California",Verified,Cross-Platform App Development for Industrial SaaS,Development,"$50,000 to $199,999",Mar. 2015 - Jan. 2016,AndPlus designed and developed a cross-platform mobile app with follow-on techincal support. The project was completed in just under a year.,"""They have a unique mix of youthful energy and old-school professionalism."""
